code;title
108208160;NÚMEROS E FUNÇOES
108208161;GEOMETRIA EUCLIDIANA
108208166;ANÁLISE COMBINATÓRIA
106009971;FILOSOFIA DA CIENCIA
106904886;DIDÁTICA GERAL
108208162;CONSTRUÇÕES GEOMÉTRICAS
107100790;PSICOLOGIA DA EDUCAÇÃO
108208163;EDUCAÇÃO MATEMÁTICA I
108208164;CALCULO I
108208169;TEORIA ELEMENTAR DOS NÚMEROS
108208165;VETORES E GEOMETRIA ANALÍTICA
108208173;"TECNOLOGIAS PARA O ENSINO DE 
MATEMÁTICA I"
108208167;EDUCAÇÃO MATEMÁTICA II
108208168;CÁLCULO II
108208178;ÁLGEBRA II
109200069;FISICA GERAL E EXPERIMENTAL I
108208170;EDUCAÇÃO MATEMÁTICA III
108208171;ÁLGEBRA LINEAR I
108208172;CÁLCULO III
108208176;ÁLGEBRA I
108208174;ÁLGEBRA LINEAR II
109200070;FÍSICA GERAL E EXPERIMENTAL II
108208183;CÁLCULO NUMÉRICO
109200071;FISICA GERAL E EXPERIMENTAL III
108208175;DIDÁTICA PARA O ENSINO DA MATEMATICA
108208177;EQUAÇÕES DIFERENCIAIS ORDINÁRIAS
30428126;PROGRAMAÇÃO LINEAR
106904887;"ORGANIZAÇÃO E FUNCIONAMENTO DA
EDUCAÇÃO BÁSICA"
108208179;ESTÁGIO SUPERVISIONADO I
30428115;ESTÁGIO SUPERVISIONADO II
30428116;ESTÁGIO SUPERVISIONADO III
108208182;ANÁLISE MATEMÁTICA I
108208192;ANÁLISE MATEMÁTICA II
108208180;PROBABILIDADE E ESTATÍSTICA
30406625;HISTÓRIA E FILOSOFIA DA MATEMÁTICA
108208181;"TECNOLOGIAS PARA O ENSINO DE 
MATEMÁTICA II"
30412820;VARIÁVEIS COMPLEXAS
108208184;MATEMÁTICA FINANCEIRA
